Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 15.44      3.15     3.15 260261481     0.01     0.01  b2Vec2::b2Vec2(float, float)
  [25] b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [97] b2StackAllocator::Allocate(int) [159] b2Contact::GetManifold()
 [222] __static_initialization_and_destruction_0(int, int) (callbacks.cpp) [233] b2ContactListener::EndContact(b2Contact*) [55] b2Contact::Update(b2ContactListener*)
 [251] __static_initialization_and_destruction_0(int, int) (dominos.cpp) [232] b2ContactListener::BeginContact(b2Contact*) [53] b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
 [252] __static_initialization_and_destruction_0(int, int) (main.cpp) [231] b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [43] b2Fixture::GetBody()
 [161] float b2Abs<float>(float) [230] b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [79] b2Fixture::GetShape()
  [15] b2Dot(b2Vec2 const&, b2Vec2 const&) [245] b2ContactListener::b2ContactListener() [77] b2Simplex::Solve2()
  [21] float b2Max<float>(float, float) [72] b2ContactListener::~b2ContactListener() [103] b2Simplex::Solve3()
 [107] int b2Max<int>(int, int) [202] b2RevoluteJointDef::b2RevoluteJointDef() [47] b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&)
  [10] b2Max(b2Vec2 const&, b2Vec2 const&) [62] b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [143] b2Simplex::b2Simplex()
  [29] float b2Min<float>(float, float) [101] b2SeparationFunction::b2SeparationFunction() [91] b2TreeNode::IsLeaf() const
  [16] b2Min(b2Vec2 const&, b2Vec2 const&) [49] b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [144] b2EdgeShape::ComputeMass(b2MassData*, float) const
   [8] b2Mul(b2Transform const&, b2Vec2 const&) [213] Ball::renderAtBodyPosition() [81] b2BroadPhase::TestOverlap(int, int) const
  [18] b2Mul(b2Rot const&, b2Vec2 const&) [214] Ball::render() [76] b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
 [110] b2MulT(b2Transform const&, b2Vec2 const&) [205] Ball::Ball(b2World*, float, float, float, float) [145] b2DynamicTree::GetFatAABB(int) const
  [36] b2MulT(b2Rot const&, b2Vec2 const&) [246] Ball::~Ball() [44] void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  [34] float b2Clamp<float>(float, float, float) [33] b2Rot::Set(float) [30] b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  [23] b2Cross(b2Vec2 const&, b2Vec2 const&) [57] b2Rot::b2Rot(float) [157] b2PolygonShape::ComputeMass(b2MassData*, float) const
  [58] b2Cross(b2Vec2 const&, float) [137] b2Rot::b2Rot() [20] b2DistanceProxy::GetSupport(b2Vec2 const&) const
  [14] b2Cross(float, b2Vec2 const&) [109] cs296::base_sim_t::mouse_move(b2Vec2 const&) [82] b2DistanceProxy::GetVertex(int) const
  [27] b2EdgeSeparation(b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) (b2CollidePolygon.cpp) [122] cs296::base_sim_t::keyboard(unsigned char) [71] b2SeparationFunction::FindMinSeparation(int*, int*, float) const
 [132] b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) (b2CollidePolygon.cpp) [254] cs296::base_sim_t::get_world() [105] b2SeparationFunction::Evaluate(int, int, float) const
  [61] b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) (b2CollidePolygon.cpp) [192] cs296::base_sim_t::base_sim_t() [69] b2AABB::GetPerimeter() const
 [240] b2JointDef::b2JointDef() [224] cs296::settings_t::settings_t() [146] b2AABB::Contains(b2AABB const&) const
 [216] b2EdgeShape::b2EdgeShape() [193] cs296::contact_point_t::contact_point_t() [247] b2Body::GetPosition() const
 [243] b2EdgeShape::~b2EdgeShape() [255] cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)()) [106] b2Body::GetTransform() const
  [51] b2Transform::b2Transform() [190] cs296::dominos_t::create() [124] b2Body::ShouldCollide(b2Body const*) const
 [120] void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*) [191] cs296::dominos_t::dominos_t() [242] b2Body::GetWorldCenter() const
  [96] b2BroadPhase::QueryCallback(int) [59] b2AABB::Combine(b2AABB const&, b2AABB const&) [248] b2Body::GetLinearVelocity() const
 [135] b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&) [68] b2AABB::b2AABB() [129] b2Body::GetType() const
 [112] b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [165] b2Body::GetContactList() [42] b2Body::IsAwake() const
 [238] b2FixtureDef::b2FixtureDef() [138] b2Body::GetFixtureList() [236] b2Body::GetAngle() const
 [253] debug_draw_t::debug_draw_t() [244] b2Body::SetGravityScale(float) [147] b2Body::IsActive() const
 [204] b2CircleShape::b2CircleShape() [215] b2Body::SetLinearVelocity(b2Vec2 const&) [83] b2Body::IsBullet() const
 [241] b2CircleShape::~b2CircleShape() [220] b2Body::SetAngularVelocity(float) [98] b2Vec2::LengthSquared() const
  [46] b2DynamicTree::InsertLeaf(int) [94] b2Body::SynchronizeFixtures() [37] b2Vec2::Length() const
  [88] b2DynamicTree::RemoveLeaf(int) [100] b2Body::SynchronizeTransform() [148] b2Vec2::IsValid() const
  [80] b2DynamicTree::Balance(int) [125] b2Body::Advance(float) [7] b2Vec2::operator-() const
  [92] b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [166] b2Body::GetNext() [87] b2Mat22::Solve(b2Vec2 const&) const
 [104] b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [134] b2Body::SetAwake(bool) [24] b2Mat33::Solve22(b2Vec2 const&) const
  [84] b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [167] b2Body::SetActive(bool) [9] b2Sweep::GetTransform(b2Transform*, float) const
 [162] b2PulleyJoint::~b2PulleyJoint() [12] b2Vec2::Set(float, float) [160] b2World::GetProfile() const
 [197] b2PolygonShape::b2PolygonShape() [95] b2Vec2::SetZero() [149] b2Contact::IsTouching() const
 [239] b2PolygonShape::~b2PolygonShape() [64] b2Vec2::Normalize() [171] b2Contact::GetWorldManifold(b2WorldManifold*) const
 [163] b2ContactFilter::ShouldCollide(b2Fixture*, b2Fixture*) [1] b2Vec2::b2Vec2(float, float) [28] b2Contact::IsEnabled() const
 [133] b2ContactSolver::StoreImpulses() [26] b2Vec2::b2Vec2() [172] b2Fixture::GetFilterData() const
  [32] b2ContactSolver::SolvePositionConstraints() [35] b2Vec2::operator-=(b2Vec2 const&) [45] b2Fixture::IsSensor() const
   [2] b2ContactSolver::SolveVelocityConstraints() [119] b2Vec2::operator*=(float) [99] b2Simplex::WriteCache(b2SimplexCache*) const
  [39] b2ContactSolver::SolveTOIPositionConstraints(int, int) [41] b2Vec2::operator+=(b2Vec2 const&) [86] b2Simplex::GetClosestPoint() const
  [31] b2ContactSolver::InitializeVelocityConstraints() [168] b2Vec3::operator*=(float) [60] b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const
  [70] b2ContactSolver::WarmStart() [169] b2Vec3::operator+=(b2Vec3 const&) [93] b2Simplex::GetSearchDirection() const
  [52] b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [170] b2Mat22::SetZero() [118] b2Simplex::GetMetric() const
 [136] b2DistanceInput::b2DistanceInput() [234] b2Shape::b2Shape() [150] void std::__insertion_sort<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, bool (*)(b2Pair const&, b2Pair const&))
 [108] b2DistanceProxy::Set(b2Shape const*, int) [237] b2Shape::~b2Shape() [151] b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&))
  [74] b2DistanceProxy::b2DistanceProxy() [89] b2Sweep::Normalize() [65] std::sqrt(float)
  [75] b2GrowableStack<int, 256>::Pop() [78] b2Sweep::b2Sweep() [3] operator-(b2Vec2 const&, b2Vec2 const&)
  [66] b2GrowableStack<int, 256>::Push(int const&) [90] b2Timer::Reset() [4] operator*(float, b2Vec2 const&)
 [115] b2GrowableStack<int, 256>::GetCount() [38] b2World::Solve(b2TimeStep const&) [11] operator+(b2Vec2 const&, b2Vec2 const&)
  [40] b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [5] b2World::SolveTOI(b2TimeStep const&)
  [17] b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [235] b2Filter::b2Filter()
